epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4401.68,0.23252,0.2291,0.84636,0.99914,1,0.995,0.98964,0.11941,0.08116,0.69652,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4528.22,0.23144,0.22801,0.84808,0.99859,1,0.995,0.99001,0.12061,0.08834,0.69273,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4655.97,0.2323,0.23533,0.84963,0.94661,0.98157,0.99326,0.98175,0.17018,0.24371,0.70316,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4783.74,0.23147,0.23921,0.84569,0.91764,0.94623,0.98443,0.97158,0.16558,0.33207,0.70231,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5860.44,0.22904,0.23346,0.84824,0.99838,0.99891,0.995,0.98312,0.1781,0.10159,0.70782,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6039.27,0.22266,0.22529,0.84747,0.99894,1,0.995,0.98794,0.13841,0.08838,0.69425,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6245.95,0.22556,0.22855,0.84767,0.99899,1,0.995,0.98867,0.13297,0.09102,0.69407,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6453.25,0.22626,0.22833,0.84637,0.99872,1,0.995,0.98749,0.12407,0.08094,0.69313,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6879.44,0.22424,0.22805,0.84725,0.98693,0.9804,0.99495,0.98484,0.15458,0.13189,0.69944,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,7317.22,0.22285,0.23524,0.8485,0.99855,1,0.995,0.98789,0.12068,0.07873,0.69084,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,282.554,0.21825,0.22749,0.84617,0.99844,1,0.995,0.98967,0.11863,0.07622,0.69245,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,534.274,0.21873,0.24084,0.84505,0.99826,1,0.995,0.98933,0.12075,0.07664,0.69165,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
